Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2357    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1208    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:68(_path_stat)
     2049    0.001    0.000    0.002    0.000 sre_parse.py:220(get)
      312    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:261(__enter__)
      104    0.001    0.000    0.002    0.000 __init__.py:41(__init__)
      104    0.001    0.000    0.005    0.000 inspect.py:1895(_signature_internal)
      104    0.000    0.000    0.002    0.000 _collections_abc.py:575(update)
      104    0.000    0.000    0.012    0.000 _decorator3.py:165(create)
      104    0.000    0.000    0.016    0.000 _decorator3.py:187(decorator)
      567    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:56(_path_split)
      290    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
      499    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      273    0.000    0.000    0.004    0.000 function_base.py:2945(add_newdoc)
      313    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:172(__init__)
  248/100    0.000    0.000    0.001    0.000 sre_parse.py:152(getwidth)
      104    0.000    0.000    0.001    0.000 _decorator3.py:125(update)
      277    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:1099(create)
       16    0.000    0.000    0.007    0.000 __init__.py:301(namedtuple)
      300    0.000    0.000    0.000    0.000 __init__.py:62(__setitem__)
        1    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000   29.130   29.130 main.py:2(<module>)
      300    0.000    0.000    0.000    0.000 inspect.py:2118(__init__)
      309    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
      666    0.000    0.000    0.000    0.000 string.py:107(convert)
      788    0.000    0.000    0.000    0.000 {built-in method setattr}
      432    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      899    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2124(__exit__)
      694    0.000    0.000    0.000    0.000 sre_parse.py:142(__getitem__)
      295    0.000    0.000    0.018    0.000 <frozen importlib._bootstrap>:1934(find_spec)
      554    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:45(_r_long)
    349/3    0.000    0.000    0.155    0.052 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
      200    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x97bda0}
      104    0.000    0.000    0.003    0.000 inspect.py:2328(__init__)
      899    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
      290    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
      317    0.000    0.000    0.001    0.000 {built-in method any}
      125    0.000    0.000    0.010    0.000 re.py:277(_compile)
      643    0.000    0.000    0.000    0.000 ga.py:53(fittest)
      208    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      458    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      277    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1631(path_stats)
      312    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:268(__exit__)
      104    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
      523    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
        2    0.000    0.000    0.000    0.000 {built-in method urandom}
        1    0.000    0.000    0.000    0.000 {built-in method read}
       52    0.000    0.000    0.000    0.000 inspect.py:1056(formatargspec)
     1108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:742(<genexpr>)
    277/3    0.000    0.000    0.156    0.052 <frozen importlib._bootstrap>:1122(_exec)
        1    0.000    0.000    0.000    0.000 {built-in method fork_exec}
      295    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1336(find_spec)
    75/23    0.000    0.000    0.005    0.000 sre_parse.py:363(_parse_sub)
        1    0.000    0.000    0.087    0.087 __init__.py:23(<module>)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
      404    0.000    0.000    0.000    0.000 _collections_abc.py:511(__iter__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1979(__init__)
      185    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
      385    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      404    0.000    0.000    0.000    0.000 inspect.py:2373(<genexpr>)
      312    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:257(__init__)
      156    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
     1361    0.000    0.000    0.000    0.000 {built-in method get_ident}
     24/6    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
      555    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       52    0.000    0.000    0.004    0.000 inspect.py:919(getargspec)
     1579    0.000    0.000    0.000    0.000 {built-in method release_lock}
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:732(__enter__)
      277    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(__init__)
    45/14    0.000    0.000    0.074    0.005 {built-in method __import__}
       59    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
       62    0.000    0.000    0.002    0.000 sre_compile.py:227(_compile_charset)
      295    0.000    0.000    0.000    0.000 {built-in method is_frozen}
       23    0.000    0.000    0.009    0.000 sre_compile.py:563(compile)
